TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD
Theft of Vehicle,2016,10,17,12,0,West End
Theft of Vehicle,2016,7,10,5,0,Stanley Park
Theft from Vehicle,2016,9,13,14,0,West End
Offence Against a Person,2016,10,17,,,Riley Park
Other Theft,2016,3,6,17,0,Kitsilano
Theft from Vehicle,2016,4,18,13,0,Fairview
Other Theft,2016,5,21,20,0,Mount Pleasant
Theft from Vehicle,2016,5,20,17,0,Fairview
Mischief,2016,7,21,23,11,Grandview-Woodland
Theft from Vehicle,2016,2,19,19,45,Riley Park
Other Theft,2016,5,20,10,44,Mount Pleasant
Mischief,2016,9,8,19,10,Grandview-Woodland
Mischief,2016,4,12,3,3,Grandview-Woodland
Other Theft,2016,1,2,12,45,West End
Theft from Vehicle,2016,4,1,11,9,Fairview
Theft from Vehicle,2016,10,15,20,0,Renfrew-Collingwood
Theft from Vehicle,2016,4,28,3,0,Shaughnessy
Mischief,2016,3,22,20,59,Grandview-Woodland
Mischief,2016,3,17,8,19,Grandview-Woodland
Theft of Vehicle,2016,5,29,14,0,Strathcona
Theft from Vehicle,2016,12,2,18,0,Riley Park
Offence Against a Person,2016,9,12,,,Riley Park
Other Theft,2016,8,13,10,0,Kitsilano
Other Theft,2016,5,11,17,53,Kitsilano
Theft from Vehicle,2016,9,17,0,0,Riley Park
Theft from Vehicle,2016,11,20,17,0,Fairview
Theft from Vehicle,2016,11,3,23,0,Renfrew-Collingwood
Other Theft,2016,1,6,14,45,Central Business District
Other Theft,2016,1,14,20,10,Central Business District
Other Theft,2016,1,3,14,1,Central Business District
Theft from Vehicle,2016,8,14,22,0,Hastings-Sunrise
Other Theft,2016,1,18,17,6,Central Business District
Other Theft,2016,2,18,13,20,Central Business District
Theft from Vehicle,2016,1,24,21,30,Renfrew-Collingwood
Theft from Vehicle,2016,11,19,22,30,Fairview
Theft from Vehicle,2016,6,17,23,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,5,7,16,0,Hastings-Sunrise
Theft of Vehicle,2016,8,15,0,0,Fairview
Theft from Vehicle,2016,3,12,19,30,Fairview
Theft from Vehicle,2016,6,11,17,0,Renfrew-Collingwood
Other Theft,2016,8,25,19,0,Strathcona
Theft from Vehicle,2016,10,4,17,0,Kensington-Cedar Cottage
Other Theft,2016,10,27,8,39,Mount Pleasant
Other Theft,2016,9,11,0,30,Riley Park
Other Theft,2016,2,18,13,22,Central Business District
Mischief,2016,3,29,0,1,Grandview-Woodland
Theft from Vehicle,2016,12,3,21,45,Fairview
Offence Against a Person,2016,8,29,,,Riley Park
Offence Against a Person,2016,1,16,,,Riley Park
Other Theft,2016,2,24,16,0,Central Business District
Theft from Vehicle,2016,3,29,19,0,Renfrew-Collingwood
Mischief,2016,1,22,14,21,Fairview
Theft from Vehicle,2016,2,8,0,0,Kensington-Cedar Cottage
Mischief,2016,6,28,12,0,Fairview
Offence Against a Person,2016,4,18,,,Riley Park
Theft from Vehicle,2016,6,12,3,6,Marpole
Theft from Vehicle,2016,7,7,8,30,Central Business District
Break and Enter Residential/Other,2016,8,8,19,0,West End
Offence Against a Person,2016,8,23,,,Riley Park
Theft from Vehicle,2016,4,8,17,30,Central Business District
Mischief,2016,10,3,8,38,Mount Pleasant
Mischief,2016,9,28,5,39,Mount Pleasant
Other Theft,2016,3,19,14,0,Strathcona
Offence Against a Person,2016,10,2,,,Riley Park
Other Theft,2016,6,21,9,59,Strathcona
Theft from Vehicle,2016,7,4,19,0,West End
Mischief,2016,9,10,14,37,Mount Pleasant
Mischief,2016,7,13,4,54,Mount Pleasant
Mischief,2016,6,17,5,30,Mount Pleasant
Mischief,2016,4,17,1,25,Mount Pleasant
Mischief,2016,3,6,3,2,Mount Pleasant
Theft from Vehicle,2016,6,19,20,30,Marpole
Theft from Vehicle,2016,5,4,0,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,8,13,19,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,1,28,8,0,Fairview
Theft from Vehicle,2016,9,6,21,0,Riley Park
Other Theft,2016,2,3,9,34,Strathcona
Theft from Vehicle,2016,3,20,17,0,South Cambie
Theft from Vehicle,2016,7,20,20,0,Marpole
Theft from Vehicle,2016,3,24,8,0,Central Business District
Theft from Vehicle,2016,10,18,12,21,Central Business District
Theft from Vehicle,2016,5,22,14,0,Central Business District
Theft from Vehicle,2016,5,4,22,10,Central Business District
Theft from Vehicle,2016,4,14,15,56,Central Business District
Theft from Vehicle,2016,2,26,17,0,Central Business District
Theft from Vehicle,2016,8,7,14,30,South Cambie
Offence Against a Person,2016,4,6,,,Riley Park
Offence Against a Person,2016,6,20,,,Riley Park
Other Theft,2016,1,14,20,25,Kensington-Cedar Cottage
Theft from Vehicle,2016,3,12,0,0,Marpole
Theft from Vehicle,2016,5,20,15,0,Kerrisdale
Theft from Vehicle,2016,7,11,15,35,Fairview
Theft from Vehicle,2016,1,17,20,0,Central Business District
Theft from Vehicle,2016,1,31,22,0,Central Business District
Break and Enter Residential/Other,2016,6,7,20,0,West End
Break and Enter Residential/Other,2016,7,20,17,0,West End
Break and Enter Residential/Other,2016,8,7,3,17,West End
Break and Enter Residential/Other,2016,9,15,1,4,West End
Theft from Vehicle,2016,2,13,8,0,Central Business District
Theft from Vehicle,2016,1,25,0,30,Central Business District
Theft from Vehicle,2016,9,10,0,0,West End
Theft from Vehicle,2016,3,28,22,0,Central Business District
Theft from Vehicle,2016,5,9,0,0,Central Business District
Theft from Vehicle,2016,10,3,0,30,Central Business District
Theft from Vehicle,2016,11,1,13,45,Renfrew-Collingwood
Theft from Vehicle,2016,6,7,16,30,Mount Pleasant
Theft from Vehicle,2016,7,14,22,0,Mount Pleasant
Theft from Vehicle,2016,7,13,17,0,Shaughnessy
Other Theft,2016,4,15,23,57,Kensington-Cedar Cottage
Theft of Vehicle,2016,11,8,0,0,West End
Other Theft,2016,1,31,14,25,Strathcona
Other Theft,2016,1,30,16,25,Strathcona
Theft from Vehicle,2016,1,12,9,48,Shaughnessy
Theft from Vehicle,2016,8,16,16,20,Fairview
Theft from Vehicle,2016,8,15,7,18,Kitsilano
Theft from Vehicle,2016,8,15,18,0,Arbutus Ridge
Mischief,2016,9,25,1,0,Shaughnessy
Theft from Vehicle,2016,9,28,9,0,Fairview
Break and Enter Residential/Other,2016,5,21,16,0,Central Business District
Theft from Vehicle,2016,6,30,12,0,Shaughnessy
Theft from Vehicle,2016,10,12,19,0,Central Business District
Theft from Vehicle,2016,2,27,21,0,Mount Pleasant
Theft from Vehicle,2016,5,14,12,0,Fairview
Other Theft,2016,9,6,11,30,Kensington-Cedar Cottage
Theft from Vehicle,2016,10,28,18,0,Shaughnessy
Other Theft,2016,5,17,20,0,Kitsilano
Other Theft,2016,10,22,23,0,Riley Park
Theft from Vehicle,2016,9,20,6,30,Fairview
Theft from Vehicle,2016,3,6,16,0,Central Business District
Mischief,2016,9,24,19,30,Grandview-Woodland
Offence Against a Person,2016,6,5,,,Riley Park
Theft from Vehicle,2016,2,17,22,0,Central Business District
Theft from Vehicle,2016,1,13,23,0,Central Business District
Break and Enter Residential/Other,2016,5,21,20,55,West End
Other Theft,2016,6,5,21,59,Victoria-Fraserview
Theft from Vehicle,2016,7,3,12,0,Fairview
Theft from Vehicle,2016,10,6,0,0,Sunset
Theft from Vehicle,2016,3,19,21,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,7,12,12,0,Sunset
Other Theft,2016,4,30,0,30,Fairview
Mischief,2016,4,7,15,30,Kensington-Cedar Cottage
Theft from Vehicle,2016,7,12,23,30,Fairview
Other Theft,2016,2,25,8,38,Central Business District
Other Theft,2016,3,24,12,20,Central Business District
Mischief,2016,11,15,11,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,2,23,5,15,Mount Pleasant
Theft from Vehicle,2016,3,12,19,0,Mount Pleasant
Theft from Vehicle,2016,7,28,22,27,Mount Pleasant
Theft from Vehicle,2016,3,24,18,0,Fairview
Theft from Vehicle,2016,8,13,21,0,Fairview
Theft from Vehicle,2016,4,24,4,27,Mount Pleasant
Mischief,2016,10,12,18,2,Central Business District
Theft from Vehicle,2016,8,11,18,40,Fairview
Theft from Vehicle,2016,4,6,10,0,Fairview
Other Theft,2016,8,28,16,40,West End
Theft from Vehicle,2016,5,28,23,52,Hastings-Sunrise
Theft from Vehicle,2016,11,3,18,0,Hastings-Sunrise
Other Theft,2016,5,22,20,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,4,9,17,0,Marpole
Theft from Vehicle,2016,9,19,22,0,Fairview
Other Theft,2016,8,22,22,39,Kensington-Cedar Cottage
Theft from Vehicle,2016,9,19,17,0,Fairview
Theft from Vehicle,2016,5,26,19,0,Central Business District
Theft from Vehicle,2016,8,3,22,0,Grandview-Woodland
Theft from Vehicle,2016,5,7,23,0,Central Business District
Theft from Vehicle,2016,4,4,21,30,Central Business District
Theft from Vehicle,2016,7,27,22,0,Central Business District
Theft from Vehicle,2016,4,2,11,30,Central Business District
Theft from Vehicle,2016,10,4,6,10,Central Business District
Other Theft,2016,10,19,17,0,Central Business District
Theft of Vehicle,2016,11,2,13,30,Central Business District
Other Theft,2016,8,13,5,10,Central Business District
Mischief,2016,2,6,3,57,Central Business District
Mischief,2016,7,27,16,30,West End
Other Theft,2016,7,31,11,0,Central Business District
Other Theft,2016,7,19,23,40,Central Business District
Other Theft,2016,2,24,10,0,Kitsilano
Other Theft,2016,1,28,20,0,Strathcona
Theft from Vehicle,2016,7,15,19,30,Grandview-Woodland
Mischief,2016,6,12,8,0,West End
Theft from Vehicle,2016,7,18,19,36,Central Business District
Mischief,2016,4,8,23,0,West End
Mischief,2016,2,15,12,29,West End
Theft from Vehicle,2016,1,2,10,0,Central Business District
Theft from Vehicle,2016,2,3,22,30,Central Business District
Other Theft,2016,10,3,11,15,Sunset
Other Theft,2016,6,12,21,0,Sunset
Mischief,2016,5,11,5,20,Grandview-Woodland
Other Theft,2016,10,1,12,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,3,2,20,30,Central Business District
Other Theft,2016,4,24,20,45,Central Business District
Theft from Vehicle,2016,9,10,20,46,Central Business District
Other Theft,2016,4,29,18,30,Central Business District
Theft from Vehicle,2016,9,19,10,52,Central Business District
Mischief,2016,3,19,4,15,Grandview-Woodland
Theft from Vehicle,2016,9,28,21,43,Central Business District
Theft from Vehicle,2016,10,2,18,55,Central Business District
Theft from Vehicle,2016,10,13,21,0,Central Business District
Mischief,2016,3,8,15,4,Grandview-Woodland
Mischief,2016,6,5,20,30,Grandview-Woodland
Theft from Vehicle,2016,10,23,21,20,Central Business District
Theft from Vehicle,2016,10,11,17,0,Marpole
Other Theft,2016,11,29,17,30,Central Business District
Mischief,2016,12,5,9,14,Grandview-Woodland
Mischief,2016,4,28,21,0,Grandview-Woodland
Theft from Vehicle,2016,4,27,10,0,West End
Other Theft,2016,1,26,18,28,Strathcona
Mischief,2016,6,10,0,0,Grandview-Woodland
Other Theft,2016,1,23,8,48,Strathcona
Theft from Vehicle,2016,10,8,9,10,West End
Theft from Vehicle,2016,2,27,12,24,West End
Mischief,2016,11,19,0,0,Grandview-Woodland
Mischief,2016,1,5,9,0,Grandview-Woodland
Other Theft,2016,9,10,11,0,Sunset
Theft from Vehicle,2016,5,18,6,30,Strathcona
Theft of Vehicle,2016,9,5,18,0,Central Business District
Break and Enter Residential/Other,2016,1,17,9,0,Shaughnessy
Break and Enter Residential/Other,2016,3,10,22,18,Shaughnessy
Offence Against a Person,2016,8,28,,,Riley Park
Theft from Vehicle,2016,6,14,19,7,Strathcona
Theft from Vehicle,2016,10,30,7,0,Strathcona
Offence Against a Person,2016,10,3,,,Riley Park
Other Theft,2016,5,2,18,30,Central Business District
Theft from Vehicle,2016,3,4,9,10,Strathcona
Theft from Vehicle,2016,10,4,20,0,West End
Other Theft,2016,11,25,10,0,Fairview
Theft from Vehicle,2016,1,19,22,0,Riley Park
Other Theft,2016,9,23,3,31,Fairview
Theft from Vehicle,2016,3,22,15,33,West End
Theft from Vehicle,2016,5,12,12,0,West End
Theft from Vehicle,2016,6,8,9,30,Central Business District
Other Theft,2016,2,28,12,0,Kitsilano
Theft from Vehicle,2016,12,2,19,30,Mount Pleasant
Theft from Vehicle,2016,6,30,11,0,Mount Pleasant
Theft from Vehicle,2016,3,27,0,0,Mount Pleasant
Theft from Vehicle,2016,1,17,0,30,Mount Pleasant
Theft from Vehicle,2016,11,3,17,19,Grandview-Woodland
Theft from Vehicle,2016,2,27,13,30,Grandview-Woodland
Theft from Vehicle,2016,6,10,6,49,Strathcona
Theft from Vehicle,2016,5,11,17,30,Grandview-Woodland
Other Theft,2016,5,5,20,51,Central Business District
Theft from Vehicle,2016,3,1,21,0,Central Business District
Theft from Vehicle,2016,3,24,8,0,Central Business District
Other Theft,2016,5,26,16,3,Central Business District
Theft from Vehicle,2016,3,13,18,0,Strathcona
Other Theft,2016,7,8,14,52,Mount Pleasant
Theft from Vehicle,2016,6,29,20,0,Grandview-Woodland
Theft from Vehicle,2016,1,25,0,0,Grandview-Woodland
Other Theft,2016,8,20,15,28,Mount Pleasant
Theft from Vehicle,2016,11,14,20,0,Central Business District
Other Theft,2016,1,7,11,17,Strathcona
Theft from Vehicle,2016,10,19,23,33,Central Business District
Theft from Vehicle,2016,6,26,23,30,West End
Break and Enter Residential/Other,2016,9,3,6,15,West End
Theft from Vehicle,2016,3,28,7,42,Central Business District
Other Theft,2016,1,5,17,0,Fairview
Other Theft,2016,1,2,22,0,Fairview
Mischief,2016,8,3,2,15,Grandview-Woodland
Theft from Vehicle,2016,8,31,20,0,Central Business District
Mischief,2016,2,9,23,15,Grandview-Woodland
Mischief,2016,2,7,20,30,Grandview-Woodland
Theft from Vehicle,2016,6,10,7,15,Central Business District
Theft from Vehicle,2016,7,7,4,0,West End
Theft from Vehicle,2016,2,1,21,0,Central Business District
Theft from Vehicle,2016,1,22,18,2,Central Business District
Theft from Vehicle,2016,10,16,7,24,Central Business District
Theft from Vehicle,2016,6,29,18,0,Grandview-Woodland
Theft from Vehicle,2016,4,13,19,30,Central Business District
Theft from Vehicle,2016,10,19,9,38,Central Business District
Theft from Vehicle,2016,5,28,16,0,Grandview-Woodland
Mischief,2016,1,8,19,53,Kensington-Cedar Cottage
Other Theft,2016,5,16,21,48,Mount Pleasant
Theft from Vehicle,2016,4,27,9,10,Central Business District
Offence Against a Person,2016,3,27,,,Riley Park
Theft from Vehicle,2016,6,2,8,0,Central Business District
Offence Against a Person,2016,5,1,,,Riley Park
Theft from Vehicle,2016,9,16,20,0,Grandview-Woodland
Other Theft,2016,10,15,20,0,Killarney
Break and Enter Residential/Other,2016,9,6,20,0,Mount Pleasant
Theft from Vehicle,2016,4,26,3,30,Grandview-Woodland
Theft from Vehicle,2016,12,4,8,59,Mount Pleasant
Theft from Vehicle,2016,9,23,5,49,Mount Pleasant
Theft from Vehicle,2016,2,1,18,1,Mount Pleasant
Other Theft,2016,6,9,17,6,Fairview
Theft from Vehicle,2016,9,7,18,0,West End
Theft from Vehicle,2016,6,7,16,0,West End
Theft from Vehicle,2016,2,4,10,0,West End
Offence Against a Person,2016,9,14,,,Riley Park
Other Theft,2016,4,17,11,47,West End
Theft from Vehicle,2016,9,8,6,28,West End
Other Theft,2016,6,29,9,47,Central Business District
Theft from Vehicle,2016,1,1,22,0,West End
Other Theft,2016,7,8,15,49,Central Business District
Theft from Vehicle,2016,8,13,19,0,Victoria-Fraserview
Theft from Vehicle,2016,5,23,23,0,Grandview-Woodland
Other Theft,2016,3,7,11,27,West End
Other Theft,2016,8,7,21,39,Central Business District
Other Theft,2016,9,15,0,1,Marpole
Theft from Vehicle,2016,4,1,7,30,Hastings-Sunrise
Theft from Vehicle,2016,10,29,12,40,Grandview-Woodland
Theft from Vehicle,2016,3,22,17,0,Grandview-Woodland
Mischief,2016,3,24,7,13,Grandview-Woodland
Theft from Vehicle,2016,3,22,18,0,Grandview-Woodland
Theft from Vehicle,2016,2,5,21,3,Central Business District
Theft from Vehicle,2016,4,3,12,0,Central Business District
Theft from Vehicle,2016,4,16,10,50,Central Business District
Theft from Vehicle,2016,10,27,14,0,Central Business District
Other Theft,2016,4,4,2,13,Fairview
Theft from Vehicle,2016,3,20,17,0,Kitsilano
Theft from Vehicle,2016,6,29,8,36,Kitsilano
Theft from Vehicle,2016,1,10,22,30,Kitsilano
Break and Enter Residential/Other,2016,10,2,22,0,Mount Pleasant
Theft from Vehicle,2016,5,11,22,30,Mount Pleasant
Theft from Vehicle,2016,2,6,8,8,Mount Pleasant
Offence Against a Person,2016,9,28,,,Riley Park
Break and Enter Residential/Other,2016,10,25,13,58,Mount Pleasant
Theft from Vehicle,2016,2,1,1,40,Mount Pleasant
Theft from Vehicle,2016,1,31,23,0,Mount Pleasant
Theft from Vehicle,2016,1,14,3,15,Mount Pleasant
Break and Enter Residential/Other,2016,1,16,22,35,Mount Pleasant
Theft from Vehicle,2016,1,13,8,30,Mount Pleasant
Theft from Vehicle,2016,1,8,4,28,Mount Pleasant
Theft from Vehicle,2016,8,24,21,30,Strathcona
Theft from Vehicle,2016,11,15,20,0,Strathcona
Mischief,2016,10,30,22,0,Victoria-Fraserview
Theft from Vehicle,2016,7,14,23,0,Mount Pleasant
Other Theft,2016,8,3,14,12,Central Business District
Break and Enter Residential/Other,2016,12,3,12,0,Kensington-Cedar Cottage
Mischief,2016,2,5,22,46,Grandview-Woodland
Theft from Vehicle,2016,5,24,14,0,Central Business District
Other Theft,2016,3,22,20,27,Fairview
Mischief,2016,1,8,21,21,Grandview-Woodland
Theft from Vehicle,2016,2,13,2,30,Central Business District
Theft from Vehicle,2016,9,5,17,47,Central Business District
Theft from Vehicle,2016,10,22,22,55,Central Business District
Theft of Vehicle,2016,3,14,15,0,Grandview-Woodland
Theft from Vehicle,2016,7,15,14,0,Central Business District
Other Theft,2016,5,17,17,5,Mount Pleasant
Other Theft,2016,4,29,16,30,Fairview
Theft from Vehicle,2016,4,22,14,0,Mount Pleasant
Other Theft,2016,6,17,17,0,Mount Pleasant
Theft from Vehicle,2016,11,10,22,30,Mount Pleasant
Theft from Vehicle,2016,2,15,18,0,Central Business District
Mischief,2016,6,15,10,56,Grandview-Woodland
Theft from Vehicle,2016,8,4,23,55,Grandview-Woodland
Theft from Vehicle,2016,6,7,21,0,Grandview-Woodland
Other Theft,2016,10,6,16,8,Central Business District
Other Theft,2016,10,24,18,25,Central Business District
Other Theft,2016,8,4,14,0,Central Business District
Theft from Vehicle,2016,3,26,14,5,Central Business District
Break and Enter Residential/Other,2016,12,3,10,47,Kensington-Cedar Cottage
Mischief,2016,11,23,0,30,Grandview-Woodland
Break and Enter Residential/Other,2016,2,17,13,30,Kensington-Cedar Cottage
Offence Against a Person,2016,4,3,,,Riley Park
Other Theft,2016,4,11,18,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,3,31,17,0,Central Business District
Theft from Vehicle,2016,8,1,8,41,Central Business District
Other Theft,2016,11,7,13,15,Central Business District
Theft from Vehicle,2016,8,14,22,0,Kitsilano
Theft from Vehicle,2016,3,28,16,0,Riley Park
Other Theft,2016,12,1,12,19,Central Business District
Theft from Vehicle,2016,4,25,20,0,Kitsilano
Theft from Vehicle,2016,2,6,22,0,Riley Park
Theft from Vehicle,2016,1,7,1,0,Central Business District
Theft from Vehicle,2016,2,13,10,22,Central Business District
Theft from Vehicle,2016,6,12,23,30,Central Business District
Break and Enter Residential/Other,2016,11,19,10,45,Kensington-Cedar Cottage
Theft from Vehicle,2016,1,30,12,27,Kensington-Cedar Cottage
Theft from Vehicle,2016,7,14,5,0,Central Business District
Theft from Vehicle,2016,5,9,22,0,Strathcona
Theft from Vehicle,2016,6,8,22,30,Strathcona
Theft from Vehicle,2016,8,29,22,0,West End
Other Theft,2016,10,11,12,8,Riley Park
Other Theft,2016,9,27,14,44,Riley Park
Other Theft,2016,2,12,15,10,Riley Park
Theft from Vehicle,2016,5,20,14,30,Central Business District
Theft from Vehicle,2016,4,9,20,0,Central Business District
Theft from Vehicle,2016,7,24,19,0,West End
Theft from Vehicle,2016,3,21,21,30,Central Business District
Theft from Vehicle,2016,3,14,18,30,Central Business District
Theft from Vehicle,2016,1,27,7,30,Central Business District
Theft from Vehicle,2016,1,10,16,30,Central Business District
Theft from Vehicle,2016,6,4,5,30,West End
Theft from Vehicle,2016,1,6,22,23,Strathcona
Other Theft,2016,11,21,14,58,Fairview
Other Theft,2016,8,14,16,2,Fairview
Other Theft,2016,5,5,14,6,Fairview
Theft from Vehicle,2016,3,2,21,34,Central Business District
Theft from Vehicle,2016,5,17,18,0,Mount Pleasant
Theft from Vehicle,2016,5,20,6,30,Mount Pleasant
Other Theft,2016,3,4,21,0,Fairview
Other Theft,2016,4,16,22,0,West End
Other Theft,2016,6,13,7,30,Strathcona
Theft from Vehicle,2016,1,4,18,0,West End
Mischief,2016,9,14,22,38,Kensington-Cedar Cottage
Other Theft,2016,8,31,8,30,West End
Theft from Vehicle,2016,8,17,22,15,Mount Pleasant
Other Theft,2016,7,18,9,0,Renfrew-Collingwood
Theft from Vehicle,2016,5,27,10,0,Grandview-Woodland
Mischief,2016,3,17,16,41,Grandview-Woodland
Theft from Vehicle,2016,1,26,22,26,Grandview-Woodland
Theft from Vehicle,2016,2,4,11,0,Strathcona
Theft from Vehicle,2016,7,30,18,29,Grandview-Woodland
Theft from Vehicle,2016,7,24,11,45,Grandview-Woodland
Theft of Vehicle,2016,7,3,21,0,Fairview
Offence Against a Person,2016,9,29,,,Riley Park
Theft from Vehicle,2016,1,31,21,0,Mount Pleasant
Theft from Vehicle,2016,8,8,20,0,Mount Pleasant
Mischief,2016,1,21,2,30,Kensington-Cedar Cottage
Theft from Vehicle,2016,2,16,0,0,Grandview-Woodland
Theft from Vehicle,2016,5,27,17,0,Grandview-Woodland
Theft from Vehicle,2016,6,13,18,0,Riley Park
Theft from Vehicle,2016,7,6,8,17,Grandview-Woodland
Theft from Vehicle,2016,2,23,22,0,Riley Park
Theft from Vehicle,2016,9,5,19,0,Oakridge
Theft from Vehicle,2016,4,3,21,0,Grandview-Woodland
Theft from Vehicle,2016,7,6,22,0,Riley Park
Theft from Vehicle,2016,8,16,10,0,Central Business District
Theft from Vehicle,2016,10,17,5,28,Grandview-Woodland
Theft from Vehicle,2016,2,26,10,0,Riley Park
Theft from Vehicle,2016,4,10,22,6,Central Business District
Theft from Vehicle,2016,2,17,12,0,Central Business District
Theft from Vehicle,2016,2,27,21,0,Riley Park
Theft from Vehicle,2016,7,1,23,0,Riley Park
Theft from Vehicle,2016,10,31,17,0,Grandview-Woodland
Mischief,2016,2,20,21,58,Fairview
Theft from Vehicle,2016,1,26,22,0,Grandview-Woodland
Mischief,2016,6,18,20,0,West Point Grey
Other Theft,2016,7,8,10,12,Riley Park
Theft from Vehicle,2016,10,21,21,0,Riley Park
Theft from Vehicle,2016,1,8,7,5,Riley Park
Theft from Vehicle,2016,1,26,21,0,Grandview-Woodland
Other Theft,2016,6,22,14,20,Mount Pleasant
Theft from Vehicle,2016,2,19,21,0,Riley Park
Other Theft,2016,1,19,18,0,Mount Pleasant
Theft from Vehicle,2016,7,4,1,0,Oakridge
Other Theft,2016,9,1,19,10,Mount Pleasant
Mischief,2016,9,10,10,59,West End
Theft of Vehicle,2016,8,3,12,56,Central Business District
Mischief,2016,7,1,8,0,West End
Theft from Vehicle,2016,3,7,16,30,Oakridge
Theft of Vehicle,2016,7,1,12,0,Marpole
Theft from Vehicle,2016,7,4,21,0,Grandview-Woodland
Theft from Vehicle,2016,5,6,18,0,Grandview-Woodland
Other Theft,2016,8,15,21,45,Mount Pleasant
Other Theft,2016,7,20,14,0,Central Business District
Other Theft,2016,3,11,13,20,Mount Pleasant
Break and Enter Residential/Other,2016,6,19,11,0,Sunset
Theft from Vehicle,2016,5,15,19,0,Riley Park
Other Theft,2016,11,25,19,30,Central Business District
Offence Against a Person,2016,10,5,,,Riley Park
Offence Against a Person,2016,10,17,,,Riley Park
Theft from Vehicle,2016,9,22,18,15,Renfrew-Collingwood
Theft from Vehicle,2016,2,12,11,15,Grandview-Woodland
Mischief,2016,4,18,1,55,Grandview-Woodland
Offence Against a Person,2016,10,2,,,Riley Park
Theft from Vehicle,2016,9,14,23,0,Riley Park
Mischief,2016,3,15,15,28,Grandview-Woodland
Theft from Vehicle,2016,6,27,1,0,Grandview-Woodland
Theft from Vehicle,2016,3,19,20,0,Riley Park
Theft from Vehicle,2016,6,24,0,0,Renfrew-Collingwood
Theft from Vehicle,2016,4,29,18,0,Victoria-Fraserview
Theft from Vehicle,2016,3,17,19,30,Riley Park
Other Theft,2016,7,20,21,0,Central Business District
Other Theft,2016,10,10,16,12,Central Business District
Other Theft,2016,10,11,10,0,Central Business District
Theft from Vehicle,2016,3,11,14,0,Riley Park
Theft from Vehicle,2016,8,25,17,30,Grandview-Woodland
Theft from Vehicle,2016,1,7,18,30,Grandview-Woodland
Other Theft,2016,4,11,18,15,Central Business District
Other Theft,2016,5,16,1,0,Central Business District
Theft from Vehicle,2016,10,26,22,0,Riley Park
Theft from Vehicle,2016,8,10,23,30,Grandview-Woodland
Other Theft,2016,3,1,5,6,Central Business District
Theft from Vehicle,2016,8,9,23,0,Grandview-Woodland
Other Theft,2016,6,30,17,0,Central Business District
Mischief,2016,3,26,1,24,Grandview-Woodland
Theft from Vehicle,2016,5,27,8,30,Grandview-Woodland
Theft from Vehicle,2016,3,1,15,30,Grandview-Woodland
Theft from Vehicle,2016,2,26,13,1,Grandview-Woodland
Other Theft,2016,5,23,17,0,Central Business District
Theft from Vehicle,2016,7,15,23,0,Grandview-Woodland
Mischief,2016,7,2,11,18,Grandview-Woodland
Other Theft,2016,4,7,11,37,Central Business District
Theft from Vehicle,2016,5,31,19,0,Grandview-Woodland
Theft from Vehicle,2016,6,20,17,0,Sunset
Theft from Vehicle,2016,3,27,0,0,Sunset
Theft from Vehicle,2016,6,8,15,30,Sunset
Other Theft,2016,1,6,17,0,Central Business District
Theft from Vehicle,2016,3,6,20,0,Sunset
Theft from Vehicle,2016,7,5,11,40,Kensington-Cedar Cottage
Other Theft,2016,3,10,15,45,Central Business District
Mischief,2016,10,8,11,44,Central Business District
Other Theft,2016,9,27,17,25,Kensington-Cedar Cottage
Theft from Vehicle,2016,1,25,16,0,Sunset
Theft from Vehicle,2016,3,1,0,0,Sunset
Theft from Vehicle,2016,11,20,18,0,Grandview-Woodland
Mischief,2016,9,9,10,2,Grandview-Woodland
Theft from Vehicle,2016,8,10,22,0,Grandview-Woodland
Theft from Vehicle,2016,7,12,22,0,Grandview-Woodland
Theft from Vehicle,2016,9,16,16,6,Central Business District
Other Theft,2016,1,9,16,41,Central Business District
Other Theft,2016,3,2,13,22,Central Business District
Other Theft,2016,4,6,15,9,Central Business District
Break and Enter Residential/Other,2016,10,11,22,0,Sunset
Theft from Vehicle,2016,6,22,14,0,Sunset
Other Theft,2016,5,8,4,27,Central Business District
Mischief,2016,2,27,13,7,Grandview-Woodland
Theft from Vehicle,2016,10,7,22,0,Victoria-Fraserview
Other Theft,2016,6,28,0,15,Central Business District
Other Theft,2016,5,5,10,30,Kensington-Cedar Cottage
Other Theft,2016,6,28,12,39,Central Business District
Break and Enter Residential/Other,2016,1,11,13,31,Sunset
Theft from Vehicle,2016,10,1,0,0,Victoria-Fraserview
Other Theft,2016,11,3,20,30,Grandview-Woodland
Theft from Vehicle,2016,4,12,2,0,Sunset
Theft from Vehicle,2016,7,6,17,30,Sunset
Mischief,2016,10,9,22,0,Mount Pleasant
Offence Against a Person,2016,6,22,,,Riley Park
Theft from Vehicle,2016,7,10,20,30,Sunset
Theft from Vehicle,2016,4,12,5,0,Sunset
